E_given,P_C,Trip,obj
"[0, 0, 0]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 0.0; 0.0 0.0],10000.0
"[0, 0, 10]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 0.0; 0.0 1.0],4000.0
"[0, 0, 20]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 0.0; 0.0 1.0],4000.0
"[0, 0, 30]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 0.0; 0.0 1.0],4000.0
"[0, 0, 40]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 0.0; 0.0 1.0],4000.0
"[0, 0, 50]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 0.0; 0.0 1.0],4000.0
"[0, 0, 60]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 0.0; 0.0 1.0],4000.0
"[0, 0, 70]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 0.0; 0.0 1.0],4000.0
"[0, 0, 80]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 0.0; 0.0 1.0],4000.0
"[0, 0, 90]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 0.0; 0.0 1.0],4000.0
"[0, 0, 100]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 0.0; 0.0 1.0],4000.0
"[0, 10, 0]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 0.0 0.0],4000.0
"[0, 10, 10]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 10, 20]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 10, 30]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 10, 40]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 10, 50]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 10, 60]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 10, 70]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 10, 80]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 10, 90]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 10, 100]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 20, 0]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 0.0 0.0],4000.0
"[0, 20, 10]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 20, 20]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 20, 30]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 20, 40]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 20, 50]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 20, 60]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 20, 70]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 20, 80]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 20, 90]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 20, 100]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 30, 0]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 0.0 0.0],4000.0
"[0, 30, 10]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 30, 20]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 30, 30]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 30, 40]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 30, 50]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 30, 60]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 30, 70]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 30, 80]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 30, 90]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 30, 100]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 40, 0]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 0.0 0.0],4000.0
"[0, 40, 10]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 40, 20]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 40, 30]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 40, 40]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 40, 50]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 40, 60]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 40, 70]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 40, 80]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 40, 90]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 40, 100]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 50, 0]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 0.0 0.0],4000.0
"[0, 50, 10]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 50, 20]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 50, 30]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 50, 40]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 50, 50]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 50, 60]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 50, 70]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 50, 80]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 50, 90]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 50, 100]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 60, 0]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 0.0 0.0],4000.0
"[0, 60, 10]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 60, 20]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 60, 30]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 60, 40]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 60, 50]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 60, 60]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 60, 70]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 60, 80]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 60, 90]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 60, 100]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 70, 0]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 0.0 0.0],4000.0
"[0, 70, 10]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 70, 20]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 70, 30]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 70, 40]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 70, 50]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 70, 60]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 70, 70]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 70, 80]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 70, 90]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 70, 100]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 80, 0]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 0.0 0.0],4000.0
"[0, 80, 10]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 80, 20]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 80, 30]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 80, 40]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 80, 50]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 80, 60]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 80, 70]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 80, 80]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 80, 90]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 80, 100]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 90, 0]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 0.0 0.0],4000.0
"[0, 90, 10]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 90, 20]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 90, 30]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 90, 40]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 90, 50]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 90, 60]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 90, 70]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 90, 80]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 90, 90]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 90, 100]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 100, 0]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 0.0 0.0],4000.0
"[0, 100, 10]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 100, 20]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 100, 30]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 100, 40]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 100, 50]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 100, 60]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 100, 70]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 100, 80]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 100, 90]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 100, 100]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[10, 0, 0]","[0.0, 0.0, 0.0]",[0.0 1.0; 0.0 0.0; 0.0 0.0],4000.0
"[10, 0, 10]","[0.0, 0.0, 0.0]",[0.0 1.0; 0.0 0.0; 1.0 -0.0],0.0
"[10, 0, 20]","[0.0, 0.0, 0.0]",[0.0 1.0; 0.0 0.0; 1.0 -0.0],0.0
"[10, 0, 30]","[0.0, 0.0, 0.0]",[0.0 1.0; 0.0 0.0; 1.0 -0.0],0.0
"[10, 0, 40]","[0.0, 0.0, 0.0]",[0.0 1.0; 0.0 0.0; 1.0 -0.0],0.0
"[10, 0, 50]","[0.0, 0.0, 0.0]",[0.0 1.0; 0.0 0.0; 1.0 -0.0],0.0
"[10, 0, 60]","[0.0, 0.0, 0.0]",[0.0 1.0; 0.0 0.0; 1.0 -0.0],0.0
"[10, 0, 70]","[0.0, 0.0, 0.0]",[0.0 1.0; 0.0 0.0; 1.0 -0.0],0.0
"[10, 0, 80]","[0.0, 0.0, 0.0]",[0.0 1.0; 0.0 0.0; 1.0 -0.0],0.0
"[10, 0, 90]","[0.0, 0.0, 0.0]",[0.0 1.0; 0.0 0.0; 1.0 -0.0],0.0
"[10, 0, 100]","[0.0, 0.0, 0.0]",[0.0 1.0; 0.0 0.0; 1.0 -0.0],0.0
"[10, 10, 0]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; 0.0 0.0],0.0
"[10, 10, 10]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 10, 20]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 10, 30]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 10, 40]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 10, 50]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 10, 60]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 10, 70]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 10, 80]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 10, 90]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 10, 100]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 20, 0]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; 0.0 0.0],0.0
"[10, 20, 10]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 20, 20]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 20, 30]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 20, 40]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 20, 50]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 20, 60]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 20, 70]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 20, 80]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 20, 90]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 20, 100]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 30, 0]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; 0.0 0.0],0.0
"[10, 30, 10]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 30, 20]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 30, 30]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 30, 40]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 30, 50]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 30, 60]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 30, 70]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 30, 80]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 30, 90]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 30, 100]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 40, 0]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; 0.0 0.0],0.0
"[10, 40, 10]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 40, 20]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 40, 30]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 40, 40]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 40, 50]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 40, 60]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 40, 70]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 40, 80]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 40, 90]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 40, 100]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 50, 0]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; 0.0 0.0],0.0
"[10, 50, 10]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 50, 20]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 50, 30]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 50, 40]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 50, 50]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 50, 60]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 50, 70]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 50, 80]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 50, 90]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 50, 100]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 60, 0]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; 0.0 0.0],0.0
"[10, 60, 10]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 60, 20]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 60, 30]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 60, 40]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 60, 50]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 60, 60]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 60, 70]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 60, 80]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 60, 90]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 60, 100]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 70, 0]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; 0.0 0.0],0.0
"[10, 70, 10]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 70, 20]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 70, 30]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 70, 40]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 70, 50]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 70, 60]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 70, 70]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 70, 80]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 70, 90]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 70, 100]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 80, 0]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; 0.0 0.0],0.0
"[10, 80, 10]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 80, 20]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 80, 30]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 80, 40]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 80, 50]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 80, 60]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 80, 70]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 80, 80]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 80, 90]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 80, 100]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 90, 0]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; 0.0 0.0],0.0
"[10, 90, 10]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 90, 20]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 90, 30]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 90, 40]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
